,GEOID10,excelCountyName,excelVTDId
1480,37195PRWM,Wilson,PRWM
1481,37195PRWK,Wilson,PRWK
1482,37195PRWQ,Wilson,PRWQ
1483,37195PRGA,Wilson,PRGA
1484,37195PRWD,Wilson,PRWD
1485,37195PRWI,Wilson,PRWI
1486,37195PRWR,Wilson,PRWR
1487,37195PRCR,Wilson,PRCR
1488,37195PRST,Wilson,PRST
1489,37197BNVL,Yadkin,BNVL
1490,37197DCRK,Yadkin,DCRK
1491,37197EBND,Yadkin,EBND
1492,37197FBSH,Yadkin,FBSH
1493,37197NBCK,Yadkin,NBCK
1494,37197NFAL,Yadkin,NFAL
1495,37197NKNB,Yadkin,NKNB
1496,37197NLIB,Yadkin,NLIB
1497,37197SBCK,Yadkin,SBCK
1498,37197SFAL,Yadkin,SFAL
1499,37197SKNB,Yadkin,SKNB
1500,37197SLIB,Yadkin,SLIB
1501,37045WACO,Cleveland,WACO
1502,37045CASAR,Cleveland,CASAR
1503,37045LAWNDL,Cleveland,LAWNDL
1504,37045S5,Cleveland,S5
1505,37045POLKVL,Cleveland,POLKVL
1506,37045KM3,Cleveland,KM3
1507,37045BSPGS,Cleveland,BSPGS
1508,37045MULLS,Cleveland,MULLS
1509,37045LATT,Cleveland,LATT
1510,37045GROVER,Cleveland,GROVER
1511,37045S8,Cleveland,S8
1512,37045S7,Cleveland,S7
1513,37045S6,Cleveland,S6
1514,37045KM4,Cleveland,KM4
1515,37045KM2,Cleveland,KM2
1516,37045FALSTN,Cleveland,FALSTN
1517,37045KINGST,Cleveland,KINGST
1518,37045S4,Cleveland,S4
1519,37045S1,Cleveland,S1
1520,37045OAKGR,Cleveland,OAKGR
1521,37045RIPPY,Cleveland,RIPPY
1522,37045S2,Cleveland,S2
1523,37045MRB-YO,Cleveland,MRB-YO
1524,37045SHANGI,Cleveland,SHANGI
1525,37045H-SPGS,Cleveland,H-SPGS
1526,37045S3,Cleveland,S3
1527,37045BETHWR,Cleveland,BETHWR
1528,37045KM1,Cleveland,KM1
1529,3701907,Brunswick,07
1530,3701922,Brunswick,22
1531,3701920,Brunswick,20
1532,3701917,Brunswick,17
1533,3701901,Brunswick,01
1534,3701911,Brunswick,11
1535,3701913,Brunswick,13
1536,3701910,Brunswick,10
1537,3701905,Brunswick,05
1538,3701919,Brunswick,19
1539,3701916,Brunswick,16
1540,3701914,Brunswick,14
1541,3701915,Brunswick,15
1542,3701902,Brunswick,02
1543,3701923,Brunswick,23
1544,3701921,Brunswick,21
1545,3701908,Brunswick,08
1546,3701904,Brunswick,04
1547,3701903,Brunswick,03
1548,3701918,Brunswick,18
1549,3701912,Brunswick,12
1550,3701906,Brunswick,06
1551,3701909,Brunswick,09
1552,37125LTR,Moore,LTR
1553,37125PHC,Moore,PHC
1554,37125RBN,Moore,RBN
1555,37125DHR,Moore,DHR
1556,37125WEM,Moore,WEM
1557,37125CAR,Moore,CAR
1558,37125PHA,Moore,PHA
1559,37125EAB,Moore,EAB
1560,37125VSS,Moore,VSS
1561,37125WAB,Moore,WAB
1562,37125BEN,Moore,BEN
1563,37125SSP,Moore,SSP
1564,37125WND,Moore,WND
1565,37125SLS,Moore,SLS
1566,37125CAM,Moore,CAM
1567,37125PBF,Moore,PBF
1568,37125PHB2,Moore,PHB2
1569,37125TLT,Moore,TLT
1570,37125PHB1,Moore,PHB1
