,STATEFP10,COUNTYFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,VTD
781,37,129,W29,37129W29,P,W29,Voting District W29,V1,G5240,S,3229546.0,12412.0,34.234767299999994,-77.93327940000002,37129W29W29
782,37,129,W27,37129W27,P,W27,Voting District W27,V1,G5240,S,3742137.0,95300.0,34.2417304,-77.9203566,37129W27W27
783,37,129,W03,37129W03,P,W03,Voting District W03,V1,G5240,S,2344346.0,780418.0,34.220661,-77.94881009999999,37129W03W03
784,37,129,W26,37129W26,P,W26,Voting District W26,V1,G5240,S,4562059.0,599394.0,34.2002266,-77.9440151,37129W26W26
785,37,185,12,3718512,A,12,Voting District 12,V1,G5240,N,24009171.0,10576655.0,36.5328308,-77.9511208,371851212
786,37,129,W31,37129W31,P,W31,Voting District W31,V1,G5240,S,8492057.0,63340.0,34.210692,-77.9093797,37129W31W31
787,37,129,H01,37129H01,P,H01,Voting District H01,V1,G5240,S,2584891.0,11725.0,34.263583000000004,-77.87710609999999,37129H01H01
788,37,129,H04,37129H04,P,H04,Voting District H04,V1,G5240,S,6507206.0,74030.0,34.228146200000005,-77.8533693,37129H04H04
789,37,129,W12,37129W12,P,W12,Voting District W12,V1,G5240,S,2089316.0,16486.0,34.2305974,-77.91042840000001,37129W12W12
790,37,129,H08,37129H08,P,H08,Voting District H08,V1,G5240,S,11842314.0,665103.0,34.2629823,-77.7916085,37129H08H08
791,37,185,1,371851,A,1,Voting District 1,V1,G5240,N,74016786.0,14894160.0,36.4640358,-77.9577817,3718511
792,37,185,2,371852,A,2,Voting District 2,V1,G5240,N,93196055.0,8034978.0,36.4927489,-78.05794,3718522
