,low,high,length
577,37101PR18,37163WBRK,21533.1573146
578,37101PR18,37163PLVW,22369.9741189
579,37101PR18,37163NGRV,0.0
580,37101PR29A,37101PR32,13524.7946551
581,37101PR29A,37101PR29B,24673.7442923
582,37101PR29A,3718310-04,34781.4064105
583,37101PR29A,3718310-03,0.0
584,37101PR32,37101PR29B,17421.3226253
585,37101PR32,3718310-04,0.0
586,37101PR32,3718310-03,14817.8452366
587,37101PR32,3718309-02,0.0
588,37101PR34,37101PR11B,3281.92651713
589,37101PR34,37101PR11A,12328.4023191
590,37101PR11B,37101PR11A,20771.2708924
591,37101PR11B,3718316-01,7078.14214566
592,37101PR31B,37101PR31A,8916.86011688
593,37101PR31B,37101PR23,35917.8213385
594,37101PR31B,3718315-03,3572.98360901
595,37101PR31B,3718315-01,16498.0849764
596,37101PR31A,37101PR23,11619.6158602
597,37101PR23,37101PR33,49603.1552692
598,37101PR23,37085PR08,6989.61759124
599,37101PR23,3718315-03,19243.0624917
600,37101PR23,3718312-04,5271.30652966
601,37101PR33,37085PR24,18866.8878783
602,37101PR33,37085PR08,10689.405907
603,37101PR03,37085PR24,15154.0603885
604,37101PR03,37085PR25,0.0
605,37101PR03,37085PR29,6259.80604981
606,37101PR17,37163WBRK,0.0
607,37101PR17,37163NGRV,10230.4980647
608,37017P201,37017P10,5254.05682952
609,37017P201,37017P202,32211.4029346
610,37017P201,37047P15,17316.7483496
611,37017P201,37047P18,23645.3182349
612,37017P201,3715541,33978.6449813
613,37017P10,37017P202,20832.7535491
614,37017P10,37017P25,12545.1879599
615,37017P10,37017P501,17608.730844
616,37017P10,37047P18,25254.5945379
617,37017P202,37017P15,40587.8050585
618,37017P202,37017P501,7860.18210014
619,37017P202,3715541,15067.664219
620,37017P40,37017P75,24947.0933823
621,37017P40,37017P45,48538.9445005
622,37017P40,37017P70,23650.8912417
623,37017P40,37017P35,43653.9028731
624,37017P40,37017P502,38257.9731831
625,37017P40,37017P65,48434.484766
626,37017P40,37017P55,22759.7970425
627,37017P25,37017P75,51290.1381953
628,37017P25,37017P501,7338.55063662
629,37017P25,37017P502,14568.3123413
630,37017P25,37047P17,3638.63229372
631,37017P25,37047P18,17309.8620412
632,37017P30,37017P75,30201.4642439
633,37017P30,37017P55,78126.9074808
634,37017P30,37047P16,28999.5582398
635,37017P30,37047P14,31931.3524306
636,37017P30,37047P02,28543.2930485
637,37017P30,37141CT03,0.0
638,37017P75,37017P502,44197.0289245
