,lo,hi,length
653,420034010,42003G011,1675.0535442
654,420034020,420034030,3379.97616757
655,420034020,420034031,12509.8203421
656,420034020,420034040,1065.06208497
657,420034020,420034050,4858.30892586
658,420034020,420034160,2908.50774052
659,420034020,420035830,5012.27678834
660,420034020,420035840,1097.50420063
661,420034020,420035131,4740.17197639
662,420034020,42003F970,594.029834786
663,420034030,420034040,2823.42150778
664,420034030,420034050,7488.61765432
665,420034030,42003F970,5090.96513182
666,420034030,421292730,1490.83207742
667,420034030,421292740,3253.09034144
668,420034031,420034140,1352.29086491
669,420034031,420034150,4173.67501574
670,420034031,420034160,3365.05202736
671,420034031,420035821,3348.55419803
672,420034031,420035840,1947.25171236
673,420034040,420034050,5514.555376
674,420034040,420034060,7587.89566765
675,420034040,420034160,258.831262543
676,420034040,421292740,1453.67919641
677,420034040,421292280,2651.19434368
678,420034060,420034110,2305.04665583
679,420034060,420034120,4880.65505191
680,420034060,420034160,8654.00755655
681,420034060,421292280,4161.7604633
682,420034070,420034080,2998.2531645
683,420034070,420034090,428.408406415
684,420034070,420034100,185.107749229
685,420034070,420034120,2945.94940806
686,420034070,420034130,4118.92848746
687,420034070,420034160,6653.17010939
688,420034070,42003E060,9919.92363318
689,420034080,420034090,3560.93991316
690,420034080,420034160,5894.05667844
691,420034080,420034220,1906.70332819
692,420034090,420034200,3052.46303017
693,420034090,420034220,1781.14722491
694,420034090,42003E060,359.824292035
695,420034090,42003E070,4286.79790056
696,420035241,4200321,3879.06356779
697,420035241,4200331,5398.96507634
698,420035241,42003F371,6388.46413288
699,420035241,4200350,1788.10344061
700,420035241,420032310,2439.45654273
701,420035241,420032331,15246.6199581
702,420035241,420038260,5720.02962917
703,420035271,420035281,5001.23606278
704,420035271,420035370,1031.1487239
705,420035271,42003G210,52.674897632
706,420035271,420032321,6757.642794
707,420035271,420032344,669.029598416
708,420035271,420035181,5481.18077316
709,420035281,420035181,7787.94349236
710,420035291,420035301,7566.75535378
711,420035291,42003PR1319,7108.32966132
712,420035291,420035060,11501.7046154
713,420035301,420035060,4003.57145967
714,420035310,420035321,4976.16968856
715,420035310,420035341,3216.67807708
716,420035310,420035351,2090.04528595
717,420035310,42003G230,84.8760870488
718,420035310,42003E050,506.062052521
719,420035750,420035760,7063.40705067
720,420035750,420035770,1696.47888085
721,420035750,42003631,2729.24037061
722,420035750,420035490,1044.75564817
723,420035750,420035650,0.0
724,420035750,420035660,1058.73793393
725,420035750,420035681,4983.40336083
726,420035760,420035770,2712.64222951
727,420035760,420035490,4683.14004969
728,420035760,420035521,0.0
729,420035770,420035400,6374.13835567
730,420035770,420035410,6902.78054326
731,420035770,420035440,5066.81096576
732,420035770,42003631,2254.44143739
733,420035770,420035490,0.0
734,420035770,420035521,2943.84163547
735,420035770,420035181,6672.0402975
736,420035770,420038670,1544.13061929
737,420036000,420036020,833.006262808
738,420036000,420035870,1533.49192899
