VTD,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B17017e1,B17021e1,B19301e1,C17002e1,VTD.1,ID
42001130CUMBERLAND TWP VTD 03,2120.6686747,2022.55722892,89.7891566265,16.936746988,2.93674698795,0.0,45.5963855422,2120.6686747,2120.6686747,939.015060241,1986.48192771,38055.2048193,1986.48192771,42001130CUMBERLAND TWP VTD 03,10
42001180FRANKLIN TWP VTD 02,1910.45352219,1879.6589332,30.1559212331,0.0,14.1829498184,0.0,6.13530092304,1910.45352219,1910.45352219,879.219273237,1910.37997775,56359.4356911,1910.37997775,42001180FRANKLIN TWP VTD 02,11
4200170BUTLER TWP,3673.98531436,3286.31757687,45.9669573199,35.9761358421,43.9816429555,0.0,325.700780174,3673.98531436,3673.98531436,1540.14823313,3667.98531436,56742.7310693,3667.98531436,4200170BUTLER TWP,12
42001450STRABAN TWP VTD 02,3014.01812206,2518.28723413,0.0330426801285,0.0238641578706,55.592240206,0.0,492.123962094,3014.01812206,3014.01812206,885.855203292,2782.60918735,43046.9459066,2782.60918735,42001450STRABAN TWP VTD 02,13
42001220GETTYSBURG WD 01 PCT 02,2885.0,2590.0,448.0,0.0,0.0,0.0,40.0,2885.0,2885.0,1045.0,2175.0,46264.0,2175.0,42001220GETTYSBURG WD 01 PCT 02,14
42001385MT. JOY TWP VTD 02,1630.87579281,1630.87579281,0.0,0.0,0.0,0.0,0.0,1630.87579281,1630.87579281,711.24577167,1621.09249471,30325.2891121,1621.09249471,42001385MT. JOY TWP VTD 02,15
42001120CUMBERLAND TWP VTD 02,1362.71353181,1350.98477364,32.0740740741,0.0,0.0,0.0,0.0,1362.71353181,1362.71353181,604.06795382,1353.4968299,33296.2936766,1353.4968299,42001120CUMBERLAND TWP VTD 02,16
42001190FREEDOM TWP,867.0,823.0,31.0,0.0,13.0,0.0,0.0,867.0,867.0,330.0,867.0,43391.0,867.0,42001190FREEDOM TWP,17
42001140CUMBERLAND TWP VTD 04,711.410675381,694.139433551,55.9259259259,0.0,0.0,0.0,0.0,711.410675381,711.410675381,325.68627451,711.410675381,42764.4172113,711.410675381,42001140CUMBERLAND TWP VTD 04,18
42001280HIGHLAND TWP,869.0,857.0,12.0,0.0,0.0,0.0,0.0,869.0,869.0,338.0,869.0,32929.0,869.0,42001280HIGHLAND TWP,19
42001170FRANKLIN TWP VTD 01,2848.70083339,2583.77930578,134.844078767,0.0,51.855945122,0.0,120.541920732,2848.70083339,2848.70083339,1007.90812622,2848.70083339,53134.7774982,2848.70083339,42001170FRANKLIN TWP VTD 01,20
42001240GETTYSBURG WD 03 PCT 01,1492.0,1177.0,147.0,0.0,0.0,0.0,193.0,1492.0,1492.0,682.0,1492.0,56975.0,1492.0,42001240GETTYSBURG WD 03 PCT 01,21
42001150EAST BERLIN,1657.0,1584.0,57.0,16.0,16.0,11.0,13.0,1657.0,1657.0,701.0,1650.0,24846.0,1650.0,42001150EAST BERLIN,22
42001435READING TWP VTD 02,2830.80631149,2606.87570776,52.4824120603,0.0,0.497487437186,0.0,179.950704225,2830.80631149,2830.80631149,1122.722698,2830.80631149,40156.4614888,2830.80631149,42001435READING TWP VTD 02,23
