,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330039555001005,15554.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1160.41579428
0,330039555001030,35103.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3694.91810248
0,330039558001036,0.0,87330.0,0,0,0,0,0,0,0,0,0,0,0,0,6050.7866477
0,330039558001151,274994.0,984.0,21,7,14,21,21,0,0,0,0,0,0,0,6442.14356923
0,330039558001088,820370.0,2337.0,13,5,8,13,13,0,0,0,0,0,0,4,12117.6238457
0,330039558001141,221.0,2371201.0,0,0,0,0,0,0,0,0,0,0,0,0,25859.0296369
0,330039551001009,377404.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8521.38576553
0,330039551001252,170978.0,0.0,12,5,7,12,12,0,0,0,0,0,0,0,8255.95024033
0,330039551001159,541113.0,0.0,27,14,13,27,27,0,0,0,0,0,0,0,13748.3462451
0,330039551001162,148447.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,5846.62872549
0,330039551001174,35447.0,0.0,13,6,7,13,13,0,0,0,0,0,0,0,2423.28119995
0,330039551001036,184088.0,0.0,5,3,2,5,5,0,0,0,0,0,0,0,7749.79008354
0,330039551001007,407542.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11051.6342484
0,330039551001152,31462.0,0.0,2,2,0,2,2,0,0,0,0,0,0,0,2780.44640192
0,330039551001171,3106.0,0.0,4,2,2,4,4,0,0,0,0,0,0,0,704.061934904
0,330039555002020,50147.0,733.0,0,0,0,0,0,0,0,0,0,0,0,0,2904.85756112
0,330039555002113,50907.0,0.0,8,4,4,8,8,0,0,0,0,0,0,0,4047.67878871
0,330039563002091,12587.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1251.70279515
0,330039563002139,33599.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,3929.39045252
0,330039563003012,0.0,1397314.0,0,0,0,0,0,0,0,0,0,0,0,0,29238.1729314
0,330039563002032,353936.0,0.0,43,17,26,41,40,0,1,0,0,0,2,1,9153.09543252
0,330039563004020,2869.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1679.29805697
0,330039563002026,0.0,181182.0,0,0,0,0,0,0,0,0,0,0,0,0,5609.58097417
0,330039563002035,3301.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,616.758546022
0,330039563002044,732.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,453.416909244
0,330039563003048,484418.0,0.0,45,21,24,44,43,1,0,0,0,0,1,1,22117.9252154
0,330039563001131,5110.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1194.2433494
0,330039563002018,666.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,349.232818636
0,330039563001034,624.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,349.328196977
0,330039563002072,19357.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1815.08425124
0,330039563001016,0.0,2383.0,0,0,0,0,0,0,0,0,0,0,0,0,673.360498851
0,330039563002105,14363.0,0.0,2,0,2,2,2,0,0,0,0,0,0,0,2088.89881715
0,330039563001078,2807.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,729.931302652
0,330039559003208,1439132.0,0.0,31,16,15,31,30,0,0,1,0,0,0,0,18492.8352527
0,330039559001110,136710.0,0.0,4,3,1,4,4,0,0,0,0,0,0,0,4751.10452372
0,330039559002037,184682.0,0.0,74,30,44,72,72,0,0,0,0,0,2,0,8386.06632419
0,330039559003168,4403.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,714.343127531
0,330039559002023,5225.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1261.82429802
0,330039559001108,4950.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1191.36267755
